Asset 01,Asset 02,Asset 03,Asset 04,Asset 05,Return,Volatility,Type
0.03706335145378145,0.24922180046983086,0.0520444988677447,0.28487520916379067,0.3767951400448524,0.35808416879805677,0.3293617846248515,Simulation
0.18193060502406797,0.2826617674137857,0.021793964303852796,0.15149100990878658,0.362122653349507,0.29137992850767624,0.29570633835183013,Simulation
0.34121408136074194,0.10807820022924804,0.03435123659748151,0.10665495453624073,0.4097015272762877,0.29389495266656734,0.2871433883064042,Simulation
0.2722625179278812,0.13231149103484896,0.2519186845704582,0.04184464633312849,0.30166266013368326,0.26400063098156146,0.2711898565160219,Simulation
0.05099597616555188,0.06525508148080647,0.3966799121737857,0.42310755554343615,0.06396147463641998,0.4741615272960409,0.3953355780139454,Simulation
0.10159835981967474,0.241066611305892,0.3428192705964641,0.09022830742671445,0.22428745085125476,0.27420422554254226,0.2764193487147423,Simulation
0.17667839776173216,0.2495071554988116,0.2184644819637953,0.14800460843275037,0.20734535634291054,0.30467397964001175,0.28787318437946297,Simulation
0.013362782965749975,0.4158072540275544,0.19173138757433114,0.37121677540764275,0.007881800024721788,0.40233042493144816,0.36704291766884906,Simulation
0.07475175508899502,0.1600212745403968,0.14716452162757424,0.40244296629172044,0.21561948245131338,0.4408853879000191,0.3700942462107912,Simulation
0.28131567858543416,0.0834999505313641,0.0861103621171376,0.1998637929219856,0.3492102158440785,0.3464438407410294,0.3036698677792888,Simulation
0.11921787432538129,0.1130241866285135,0.14083877904281988,0.15121241720549317,0.47570674279779224,0.3057514286481421,0.2951582443182132,Simulation
0.06043464409922122,0.2757226148339254,0.3037623363101833,0.15910474232262933,0.20097566243404083,0.30427843595919096,0.2901378606413818,Simulation
0.3082078401706011,0.2427867664752678,0.03823057838279923,0.051819943420408486,0.35895487155092337,0.2504791027723525,0.2791339661107019,Simulation
0.47052094382951964,0.00978648002596336,0.4327260840718055,0.010047970871925776,0.07691852120078571,0.28515325013922027,0.297489424265189,Simulation
0.2662503123966288,0.30158842235737426,0.08329425695088949,0.20351333164645802,0.14535367664864957,0.3313202832588278,0.30614453648347306,Simulation
