Machine_ID,Utilization,Downtime,Energy_Consumption,Defect_Rate,Failure_Risk
MCH_001,78,4,105,3.77,0.53
MCH_002,71,7,139,2.53,0.35
MCH_003,70,5,119,1.05,0.59
MCH_004,75,8,140,1.24,0.58
MCH_005,81,6,160,4.41,0.09
MCH_006,96,9,158,2.97,0.42
MCH_007,91,1,166,4.53,0.3
MCH_008,69,8,155,2.3,0.17
MCH_009,82,2,129,2.84,0.43
MCH_010,71,2,123,4.22,0.25
MCH_011,66,6,106,3.31,0.28
MCH_012,92,11,163,2.49,0.06
MCH_013,84,9,127,4.37,0.3
MCH_014,63,11,114,1.91,0.25
MCH_015,70,10,112,3.21,0.12
MCH_016,74,10,102,1.23,0.26
MCH_017,69,10,104,2.8,0.07
MCH_018,96,7,111,1.44,0.16
MCH_019,67,10,109,1.12,0.59
MCH_020,65,6,138,3.32,0.48
MCH_021,97,4,146,4.3,0.52
MCH_022,76,7,156,1.79,0.53
MCH_023,91,5,163,4.79,0.59
MCH_024,76,11,129,1.34,0.58
MCH_025,69,8,122,4.2,0.58
MCH_026,95,10,148,4.37,0.41
MCH_027,69,9,115,4.8,0.13
MCH_028,84,7,136,4.81,0.38
MCH_029,87,9,167,1.93,0.4
MCH_030,69,6,142,3.24,0.26
