Date,vader_sentiment,textblob_sentiment,Close,Price_Change
2024-08-01,0.0,0.0,14576,
2024-08-04,-0.3182,0.068181818,14567,
2024-08-05,0.0,-0.05,14567,
2024-08-06,0.0,0.0,14568,
2024-08-07,0.0,0.0,14577,
2024-08-08,0.4215,0.4333333333333333,14641,
2024-08-11,0.0,0.0,14639,65.0
2024-08-12,0.1531,0.0,14649,72.0
2024-08-13,-0.34,0.0,14632,82.0
2024-08-14,0.3182,0.0,14646,64.0
2024-08-15,0.0,0.25,14664,69.0
2024-08-18,0.2732,0.0,14676,23.0
2024-08-19,0.5106,0.4333333333333333,14739,37.0
2024-08-20,-0.34,0.0,14724,90.0
2024-08-21,0.4404,0.0,14760,92.0
2024-08-22,0.5574,0.1818181818181818,14809,114.0
2024-08-25,-0.4588,0.1,14797,145.0
2024-08-26,0.4767,0.1363636363636363,14846,121.0
2024-08-27,0.0,-0.166666667,14842,107.0
2024-08-28,0.3818,0.0,14879,118.0
2024-08-29,-0.296,0.075,14872,119.0
2024-09-01,0.743,0.3181818181818182,14945,63.0
2024-09-03,-0.2263,0.0,14937,148.0
2024-09-04,0.6369,0.75,15023,91.0
2024-09-05,0.0,0.0,15023,181.0
2024-09-08,0.8225,0.4333333333333333,15117,144.0
2024-09-09,0.0258,0.1,15127,245.0
2024-09-10,0.0,0.1666666666666666,15140,182.0
2024-09-11,0.7506,0.3181818181818182,15224,203.0
2024-09-12,0.0,0.0,15219,201.0
2024-09-15,0.7184,0.0,15281,196.0
2024-09-16,0.0,-0.05,15278,164.0
2024-09-17,0.4215,0.4333333333333333,15352,151.0
2024-09-18,0.1779,0.0,15364,212.0
2024-09-19,0.4019,0.0,15403,140.0
2024-09-22,0.0,0.068181818,15409,184.0
2024-09-23,0.0,0.0,15407,128.0
2024-09-24,0.5106,0.4333333333333333,15485,129.0
2024-09-25,0.3182,0.0,15508,133.0
2024-09-26,-0.4404,-0.375,15471,144.0
2024-09-29,0.802,0.0,15549,68.0
2024-09-30,0.0,0.4,15569,140.0
2024-10-01,0.5106,0.4333333333333333,15642,162.0
2024-10-02,0.0,-0.166666667,15631,157.0
2024-10-03,0.2023,0.375,15672,123.0
2024-10-06,-0.5719,-0.15,15636,201.0
2024-10-07,0.5574,0.2272727272727272,15700,87.0
2024-10-08,-0.34,-0.0875,15675,131.0
2024-10-09,0.3818,-0.15,15696,33.0
2024-10-10,0.7096,0.2272727272727272,15784,65.0
2024-10-13,0.0,0.125,15794,112.0
2024-10-14,-0.128,0.1666666666666666,15799,158.0
2024-10-15,0.2023,0.5,15845,99.0
2024-10-16,0.0,0.0,15841,170.0
2024-10-17,0.7845,0.0,15919,145.0
2024-10-20,0.0,0.0,15924,135.0
2024-10-21,0.743,0.2848484848484848,16001,130.0
2024-10-22,-0.1531,0.5,16032,202.0
2024-10-23,0.765,0.2272727272727272,16104,187.0
2024-10-24,0.34,-0.05,16127,263.0
2024-10-27,0.6249,0.0,16171,208.0
2024-10-28,0.296,0.125,16202,247.0
2024-10-29,0.0,0.0,16203,201.0
2024-10-30,0.4215,0.1363636363636363,16256,171.0
2024-10-31,0.0,0.0,16262,152.0
2024-11-03,0.4767,0.0,16305,135.0
2024-11-04,-0.4404,-0.125,16278,134.0
2024-11-05,0.0,0.0,16265,76.0
2024-11-06,0.0,0.0,16250,62.0
2024-11-07,0.5106,0.4333333333333333,16319,-6.0
2024-11-10,0.0,0.0,16319,57.0
2024-11-11,0.5574,0.1818181818181818,16376,14.0
2024-11-12,0.0772,0.0,16391,98.0
2024-11-13,0.1027,0.1363636363636363,16411,126.0
2024-11-14,-0.5719,-0.15,16369,161.0
2024-11-17,0.6705,0.0,16431,50.0
2024-11-18,0.1779,0.0,16452,112.0
2024-11-19,0.4588,0.1363636363636363,16510,76.0
2024-11-20,-0.1531,0.0,16501,119.0
2024-11-21,0.6908,0.1931818181818181,16570,90.0
2024-11-24,0.1531,0.5,16621,201.0
2024-11-25,0.3182,0.5,16699,190.0
2024-11-26,0.6369,0.0,16758,247.0
2024-11-27,-0.4588,0.0,16730,248.0
2024-11-28,0.3182,0.0,16754,229.0
2024-12-01,0.0,0.0,16761,184.0
2024-12-02,0.5574,0.1448863636363636,16823,140.0
2024-12-03,-0.128,0.1,16822,124.0
2024-12-04,0.7003,0.0,16885,64.0
2024-12-05,-0.1027,0.0,16878,155.0
2024-12-08,0.0,0.1363636363636363,16894,124.0
