Turnover_Rate,Profitability,KMeans_Cluster
0.6960486322188449,-3707.5099999999993,2
0.7340425531914894,-6342.479999999997,2
0.6539792387543253,-979.0199999999959,0
0.7375328083989501,-4347.07,2
0.6960486322188449,-3425.839999999995,2
0.7389033942558747,-6492.019999999995,2
0.6855345911949685,-3782.299999999999,0
0.6610169491525424,-2743.650000000004,0
0.6309963099630996,-1809.180000000002,0
0.6688741721854304,-555.5,0
0.7455470737913485,-4547.360000000003,2
0.6415770609318996,-236.27999999999878,0
0.7455470737913485,-5525.980000000004,2
0.6402877697841727,-2006.0600000000018,0
0.647887323943662,246.56000000000063,0
0.7222222222222222,-3408.6000000000035,2
0.7389033942558747,-1086.720000000001,1
0.6960486322188449,-5179.980000000001,2
0.6539792387543253,-2982.42,0
0.7409326424870466,-6409.260000000003,2
0.7067448680351907,-5046.539999999999,2
0.6774193548387096,-5056.7999999999965,2
0.6835443037974683,1060.5599999999993,1
0.7448979591836735,-4788.799999999994,2
0.7333333333333333,-5453.250000000004,2
0.7297297297297297,-337.5,1
0.71671388101983,-5548.2899999999945,2
0.6763754045307443,-2654.2999999999975,0
0.6774193548387096,-3202.5,0
0.7126436781609196,-3566.240000000006,2
0.6415770609318996,-3545.9900000000002,0
0.7126436781609196,-404.2399999999989,1
0.66996699669967,-2115.2599999999975,0
0.6978851963746223,-5151.300000000003,2
0.6855345911949685,-3862.9599999999996,0
0.7214484679665738,-4537.679999999995,2
0.7389033942558747,-4912.880000000004,2
0.7109826589595376,-3872.0399999999954,2
0.6904024767801857,-3434.200000000001,0
0.7150997150997151,-4422.619999999997,2
0.6845425867507886,659.6799999999982,1
0.7347480106100795,-5182.669999999995,2
0.6666666666666666,-950.0,0
0.732620320855615,441.14000000000374,1
0.7487437185929648,-7318.880000000001,2
0.6610169491525424,-1370.8500000000001,0
0.6323529411764706,-667.3599999999992,0
0.7109826589595376,-4506.719999999998,2
0.6805111821086262,756.1499999999994,1
0.6428571428571429,-1211.3999999999983,0
0.7126436781609196,-1128.3999999999992,1
0.71671388101983,-4379.429999999997,2
0.7252747252747253,-1158.9599999999964,1
0.6655518394648829,131.33999999999932,0
0.6466431095406361,-3151.2599999999998,0
0.6996996996996997,-3532.2799999999993,2
0.7375328083989501,865.4800000000035,1
0.7297297297297297,-2629.8000000000025,2
0.7214484679665738,-4838.120000000002,2
0.6336996336996337,-4056.8500000000004,0
0.6632996632996633,-919.9900000000032,0
0.7319034852546917,-6164.340000000004,2
0.6296296296296297,-2995.4000000000005,0
0.6296296296296297,-3833.500000000002,0
0.6655518394648829,81.59000000000498,0
