Simulated_Demand,Simulated_OrderingCost,HoldingCost,EOQ
7258.582939170828,1458.1229247422998,1250,130.13166369334297
9712.694486443124,1177.2518716018199,1250,135.25849481618133
9939.98376102636,1246.2246519408216,1250,140.78325356594084
9999.736798733156,1183.992577339528,1250,137.6349615180619
11308.918309356186,1267.871529570102,1250,151.46355630139817
9041.19614562924,1288.880869720287,1250,136.5461079723055
10524.107003183339,1134.5671529302538,1250,138.21899215222237
10792.138426362162,1181.0912878532351,1250,142.80896707242147
9778.326527874899,1170.130425908048,1250,135.30361346086937
7571.8819430476005,1136.796080047848,1250,117.35543080022566
10713.173242125602,1197.3106508515484,1250,143.25918568644622
8714.81357014425,1315.7557506230446,1250,135.4492735781188
9701.399840456605,1053.4109411206173,1250,127.87219079141671
12206.012461671015,1073.6192886614692,1250,144.8011625173901
10879.49151128571,1107.6823078974476,1250,138.85831781191442
10135.826834573822,1091.738284395819,1250,133.0604085327306
8760.69581872634,1262.6643053605692,1250,133.03724531379828
10405.290545134401,1337.3579333062878,1250,149.21446503012984
9965.618069704136,1466.442215295179,1250,152.9130630857814
10268.346667437036,1268.0129617484654,1250,144.33514704346587
8641.570754892771,1126.3098821852964,1250,124.79158009314045
10519.679700515977,1189.89266851037,1250,141.51912803983114
10187.683135034637,1102.0207493142968,1250,134.02709100624392
10121.946973471622,1214.2255069910084,1250,140.2302460703806
8819.564980114761,1277.105981361671,1250,134.2446673152419
8299.93505308203,1222.108569671722,1250,127.39495598234818
11765.5926938255,1281.66606453829,1250,155.32964113706456
10674.299246037104,1092.3087990061579,1250,136.5848072937609
11769.06205315286,1365.2061713522746,1250,160.33562870924058
9156.409977104433,1143.0284109822148,1250,129.40501842776501
11254.656044926687,1415.537685398011,1250,159.6565802854928
8735.313964909712,1079.5547076330508,1250,122.8348440042711
9856.213243577831,939.4687164668982,1250,121.71838977027659
10019.045160209424,1342.289221683598,1250,146.68854804713462
8561.362983764251,1215.2528357970104,1250,129.02229664244587
9418.229295004687,1396.7935138504702,1250,145.0810619824326
9430.208137866948,1382.27917052983,1250,144.41706427003356
9402.544929188773,1292.5410966400955,1250,139.44562085046013
10251.945618362699,1183.4072800182837,1250,139.3253865115584
